iter	RMSE
0	78.55617489
1	75.82703198
2	73.35263033
3	71.09376114
4	68.94194218
5	67.1630057
6	65.37420988
7	63.74772784
8	62.30259034
9	60.96154872
10	59.78094631
11	58.72046577
12	57.74861734
13	56.83962944
14	56.05917698
15	55.35406071
16	54.69118337
17	54.09927075
18	53.55534706
19	53.08487319
20	52.64240215
21	52.25310249
22	51.89251005
23	51.56314753
24	51.26888576
25	51.03980858
26	50.81597765
27	50.60508751
28	50.42575708
29	50.27124397
30	50.1203544
31	49.9796146
32	49.84681544
33	49.73191459
34	49.62566487
35	49.53502978
36	49.45072395
37	49.37161309
38	49.29056907
39	49.21894889
40	49.15498592
41	49.09593816
42	49.05112692
43	49.00989208
44	48.96180154
45	48.91492727
46	48.87966383
47	48.84820544
48	48.81896167
49	48.78436609
50	48.7572772
51	48.72243656
52	48.69739648
53	48.66448747
54	48.639768
55	48.62096127
56	48.60508601
57	48.5854737
58	48.56419998
59	48.54007369
60	48.52817567
61	48.51312753
62	48.48661463
63	48.46397729
64	48.45555433
65	48.43384749
66	48.41204416
67	48.39164081
68	48.38159073
69	48.36839095
70	48.34785362
71	48.34086124
72	48.32015508
73	48.3013733
74	48.29095131
75	48.28296546
76	48.27473218
77	48.26008284
78	48.25150588
79	48.23822075
80	48.23166013
81	48.21850727
82	48.20683402
83	48.19417781
84	48.18861828
85	48.17732132
86	48.16729164
87	48.16405962
88	48.16053895
89	48.15033714
90	48.14132198
91	48.13438791
92	48.12951659
93	48.1246474
94	48.11233478
95	48.10361664
96	48.09967317
97	48.09410877
98	48.08529235
99	48.07562566
100	48.06199822
101	48.05157052
102	48.04040054
103	48.03579016
104	48.02745463
105	48.02558769
106	48.01590616
107	48.01018777
108	48.00557958
109	48.00285597
110	48.00138632
111	47.99384828
112	47.98800999
113	47.98384873
114	47.9813165
115	47.97944937
116	47.97571893
117	47.97164546
118	47.96575584
119	47.96360291
120	47.95793173
121	47.94947138
122	47.9460329
123	47.93934061
124	47.935258
125	47.92045448
126	47.91570866
127	47.9070377
128	47.89867827
129	47.89033964
130	47.88315658
131	47.87525013
132	47.87083909
133	47.86184144
134	47.85396677
135	47.84848853
136	47.83860973
137	47.83040384
138	47.82220464
139	47.81207754
140	47.8035226
141	47.79704401
142	47.78858964
143	47.77965549
144	47.77478853
145	47.77053786
146	47.76309421
147	47.75844176
148	47.75482232
149	47.74911469
150	47.7425595
151	47.73625186
152	47.72871325
153	47.72515244
154	47.71819535
155	47.71520387
156	47.70806264
157	47.69947953
158	47.69250318
159	47.68493843
160	47.68129991
161	47.67205442
162	47.6637894
163	47.65447327
164	47.64652887
165	47.63900688
166	47.63357074
167	47.62716315
168	47.62241053
169	47.61354843
170	47.60356573
171	47.59689903
172	47.59119985
173	47.58503273
174	47.57937843
175	47.57571783
176	47.56937507
177	47.55848888
178	47.55439101
179	47.54927203
180	47.54436739
181	47.53897453
182	47.53278714
183	47.5268859
184	47.52076207
