iter	Passed	Remaining
0	8	8105
1	16	8081
2	25	8320
3	34	8512
4	43	8583
5	54	8993
6	66	9463
7	74	9295
8	83	9244
9	96	9527
10	113	10244
11	125	10329
12	135	10274
13	150	10626
14	161	10579
15	171	10551
16	180	10444
17	189	10333
18	198	10243
19	207	10178
20	217	10131
21	236	10491
22	255	10839
23	270	10994
24	280	10925
25	289	10840
26	300	10839
27	312	10836
28	323	10836
29	335	10859
30	348	10894
31	366	11071
32	383	11224
33	394	11203
34	404	11157
35	414	11092
36	424	11049
37	434	10994
38	444	10952
39	453	10885
40	462	10828
41	472	10778
42	481	10712
43	496	10785
44	511	10847
45	521	10825
46	531	10782
47	541	10737
48	550	10690
49	560	10641
50	569	10598
51	579	10556
52	588	10523
53	599	10503
54	608	10463
55	621	10469
56	639	10580
57	654	10633
58	668	10657
59	677	10619
60	687	10583
61	698	10563
62	707	10524
63	715	10463
64	724	10417
65	733	10385
66	747	10413
67	774	10611
68	786	10610
69	798	10607
70	811	10612
71	825	10641
72	837	10636
73	847	10603
74	862	10638
75	877	10669
76	907	10883
77	935	11056
78	945	11021
79	964	11089
80	974	11058
81	987	11053
82	999	11042
83	1014	11058
84	1032	11114
85	1050	11165
86	1062	11155
87	1074	11133
88	1086	11117
89	1098	11103
90	1109	11087
91	1121	11073
92	1137	11090
93	1156	11144
94	1177	11217
95	1190	11208
96	1202	11193
97	1214	11176
98	1227	11166
99	1238	11143
100	1249	11120
101	1260	11098
102	1272	11085
103	1292	11135
104	1311	11179
105	1323	11166
106	1334	11141
107	1347	11131
108	1359	11112
109	1370	11086
110	1382	11070
111	1393	11049
112	1407	11048
113	1427	11097
114	1446	11131
115	1461	11139
116	1479	11165
117	1494	11168
118	1505	11143
119	1516	11123
120	1528	11100
121	1544	11118
122	1561	11135
123	1575	11130
124	1587	11113
125	1599	11095
126	1611	11080
127	1624	11065
128	1635	11043
129	1647	11026
130	1660	11014
131	1674	11007
132	1693	11039
133	1707	11031
134	1718	11012
135	1730	10991
136	1739	10955
137	1749	10926
138	1761	10910
139	1776	10914
140	1788	10898
141	1800	10879
142	1817	10894
143	1831	10889
144	1843	10867
145	1853	10842
146	1864	10821
147	1874	10789
148	1884	10765
149	1894	10734
150	1904	10707
151	1914	10679
152	1923	10648
153	1938	10649
154	1955	10658
155	1966	10638
156	1975	10609
157	1984	10577
158	1993	10542
159	2002	10514
160	2012	10485
161	2023	10466
162	2036	10455
163	2046	10434
164	2056	10409
165	2072	10410
166	2087	10410
167	2099	10395
168	2113	10394
169	2124	10373
170	2134	10346
171	2144	10325
172	2153	10296
173	2163	10271
174	2173	10248
175	2186	10238
176	2202	10241
177	2218	10243
178	2234	10247
179	2243	10220
180	2253	10195
181	2261	10165
182	2272	10144
183	2282	10124
184	2295	10110
185	2305	10090
186	2316	10070
187	2331	10069
188	2345	10066
189	2357	10050
190	2367	10027
191	2378	10008
192	2388	9986
193	2397	9959
194	2405	9932
195	2415	9909
196	2425	9885
197	2435	9865
198	2445	9842
199	2457	9829
200	2473	9832
201	2484	9816
202	2495	9799
203	2504	9774
204	2514	9751
205	2524	9730
206	2533	9706
207	2543	9683
208	2552	9661
209	2566	9653
210	2580	9647
211	2600	9665
212	2614	9661
213	2627	9651
214	2638	9633
215	2649	9618
216	2668	9628
217	2683	9627
218	2695	9612
219	2707	9597
220	2720	9587
221	2737	9593
222	2750	9584
223	2760	9562
224	2772	9551
225	2784	9535
226	2797	9526
227	2809	9511
228	2820	9496
229	2832	9483
230	2846	9475
231	2864	9484
232	2878	9476
233	2892	9467
234	2904	9453
235	2916	9440
236	2929	9430
237	2940	9413
238	2951	9397
239	2963	9385
240	2982	9393
241	3000	9398
242	3030	9439
243	3052	9457
244	3067	9451
245	3082	9447
246	3101	9454
247	3119	9458
248	3133	9451
249	3152	9456
250	3163	9439
251	3173	9419
252	3183	9399
253	3199	9396
254	3208	9374
255	3218	9355
256	3228	9334
257	3238	9314
258	3248	9294
259	3261	9283
260	3277	9279
261	3291	9271
262	3304	9261
263	3317	9249
264	3327	9228
265	3336	9207
266	3345	9185
267	3355	9165
268	3364	9142
269	3373	9121
270	3382	9100
271	3394	9085
272	3414	9092
273	3425	9075
274	3436	9058
275	3446	9039
276	3455	9018
277	3465	8999
278	3474	8980
279	3483	8958
280	3493	8939
281	3503	8920
282	3513	8901
283	3525	8889
284	3542	8887
285	3554	8874
286	3565	8857
287	3576	8842
288	3586	8824
289	3596	8805
290	3606	8786
291	3616	8768
292	3627	8754
293	3638	8738
294	3648	8718
295	3662	8711
296	3677	8704
297	3688	8688
298	3696	8666
299	3705	8646
300	3715	8628
301	3724	8608
302	3733	8589
303	3743	8570
304	3753	8552
305	3762	8533
306	3773	8517
307	3786	8506
308	3801	8500
309	3814	8491
310	3825	8475
311	3835	8456
312	3844	8438
313	3860	8434
314	3871	8417
315	3881	8401
316	3891	8384
317	3901	8366
318	3909	8346
319	3925	8341
320	3942	8338
321	3954	8326
322	3963	8306
323	3973	8289
324	3982	8271
325	3992	8255
326	4004	8241
327	4015	8226
328	4025	8209
329	4035	8193
330	4046	8178
331	4062	8174
332	4076	8165
333	4090	8156
334	4101	8140
335	4114	8130
336	4129	8124
337	4143	8115
338	4154	8100
339	4165	8086
340	4180	8079
341	4196	8074
342	4208	8062
343	4223	8053
344	4234	8038
345	4248	8030
346	4261	8020
347	4275	8009
348	4286	7996
349	4298	7983
350	4311	7972
351	4328	7969
352	4341	7957
353	4353	7945
354	4366	7934
355	4376	7917
356	4389	7905
357	4401	7892
358	4413	7880
359	4431	7877
360	4458	7891
361	4476	7889
362	4493	7885
363	4504	7870
364	4514	7853
365	4523	7836
366	4533	7819
367	4543	7802
368	4552	7785
369	4562	7768
370	4574	7754
371	4587	7745
372	4601	7735
373	4611	7718
374	4620	7701
375	4630	7684
376	4638	7665
377	4649	7650
378	4659	7634
379	4668	7617
380	4678	7601
381	4688	7584
382	4699	7569
383	4715	7565
384	4731	7558
385	4743	7545
386	4753	7529
387	4763	7513
388	4772	7496
389	4781	7478
390	4790	7462
391	4800	7445
392	4810	7429
393	4820	7413
394	4830	7399
395	4846	7392
396	4860	7382
397	4871	7368
398	4881	7352
399	4890	7335
400	4900	7320
401	4910	7304
